resultsId,seasonId,raceId,POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37
2557,10,120,1,8,Classified,34,53:03.1,-,-,32,01:15.9,139.2,NEOM McLaren Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,12,Sam,BIRD,,GBR,GBR,BIR,,,,,,
2558,10,120,2,9,Classified,34,53:03.6,0.564,0.564,28,01:15.8,139.3,Jaguar TCS Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,5,Mitch,EVANS,,NZL,NZL,EVA,,,,,,
2559,10,120,3,22,Classified,34,53:06.6,3.54,2.976,28,01:16.0,139,Nissan Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,9,Oliver,ROWLAND,,GBR,GBR,ROW,,,,,,
2560,10,120,4,94,Classified,34,53:06.7,3.629,0.089,25,01:15.9,139.2,TAG Heuer Porsche Formula E Team,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,2,Pascal,WEHRLEIN,,DEU,DEU,WEH,,,,,,
2561,10,120,5,1,Classified,34,53:06.8,3.722,0.093,25,01:15.9,139.1,Andretti Formula E,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,4,Jake,DENNIS,,GBR,GBR,DEN,,,,,,
2562,10,120,6,13,Classified,34,53:08.6,5.567,1.845,25,01:15.9,139.1,TAG Heuer Porsche Formula E Team,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,18,António Félix,DA COSTA,,PRT,PRT,DAC,,,,,,
2563,10,120,7,25,Classified,34,53:09.1,6.006,0.439,25,01:15.9,139.1,DS PENSKE,,,,DS E-TENSE FE23,HANKOOK,,,,,,,,,,3,Jean-Éric,VERGNE,,FRA,FRA,JEV,,,,,,
2564,10,120,8,2,Classified,34,53:09.9,6.817,0.811,23,01:16.0,138.9,DS PENSKE,,,,DS E-TENSE FE23,HANKOOK,,,,,,,,,,11,Stoffel,VANDOORNE,,BEL,BEL,VAN,,,,,,
2565,10,120,9,7,Classified,34,53:11.2,8.085,1.268,26,01:16.0,139,Maserati MSG Racing,,,,Maserati Tipo Folgore,HANKOOK,,,,,,,,,,6,Maximilian,GÜNTHER,,DEU,DEU,GUE,,,,,,
2566,10,120,10,16,Classified,34,53:11.7,8.61,0.525,25,01:15.7,139.5,Envision Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,8,Sébastien,BUEMI,,CHE,CHE,BUE,,,,,,
2567,10,120,11,23,Classified,34,53:12.3,9.277,0.667,23,01:16.0,139,Nissan Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,14,Sacha,FENESTRAZ,,FRA,FRA,FEN,,,,,,
2568,10,120,12,48,Classified,34,53:12.8,9.762,0.485,24,01:15.8,139.4,MAHINDRA RACING,,,,Mahindra M10Electro,HANKOOK,,,,,,,,,,16,Edoardo,MORTARA,,CHE,CHE,MOR,,,,,,
2569,10,120,13,11,Classified,34,53:13.9,10.819,1.057,28,01:15.9,139,ABT CUPRA FORMULA E TEAM,,,,Mahindra M10Electro,HANKOOK,,,,,,,,,,21,Lucas,DI GRASSI,,BRA,BRA,DIG,,,,,,
2570,10,120,14,21,Classified,34,53:16.7,13.677,2.858,29,01:15.5,139.8,MAHINDRA RACING,,,,Mahindra M10Electro,HANKOOK,,,,,,,,,,19,Nyck,DE VRIES,,NLD,NLD,DEV,,,,,,
2571,10,120,15,18,Classified,34,53:17.4,14.379,0.702,26,01:16.0,139,Maserati MSG Racing,,,,Maserati Tipo Folgore,HANKOOK,,,,,,,,,,20,Jehan,DARUVALA,,IND,IND,DAR,,,,,,
2572,10,120,16,3,Classified,34,53:20.6,17.511,3.132,28,01:16.0,139,ERT Formula E Team,,,,ERT X24,HANKOOK,,,,,,,,,,15,Sérgio,SETTE CÂMARA,,BRA,BRA,SET,,,,,,
2573,10,120,17,33,Classified,34,53:21.0,17.884,0.373,24,01:16.1,138.7,ERT Formula E Team,,,,ERT X24,HANKOOK,,,,,,,,,,22,Dan,TICKTUM,,GBR,GBR,TIC,,,,,,
2574,10,120,18,17,Classified,34,53:22.0,18.889,1.005,15,01:15.9,139.2,Andretti Formula E,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,13,Norman,NATO,,FRA,FRA,NAT,,,,,,
2575,10,120,19,4,Classified,34,53:22.2,19.124,0.235,27,01:15.6,139.6,Envision Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,7,Robin,FRIJNS,,NLD,NLD,FRI,,,,,,
2576,10,120,,5,Not classified,31,49:28.0,,,27,01:15.7,139.4,NEOM McLaren Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,10,Jake,HUGHES,,GBR,GBR,HUG,,,,,,
2577,10,120,,51,Not classified,25,41:45.4,,,24,01:16.3,138.3,ABT CUPRA FORMULA E TEAM,,,,Mahindra M10Electro,HANKOOK,,,,,,,,,,17,Nico,MÜLLER,,CHE,CHE,MUE,,,,,,
2578,10,120,,37,Not classified,14,22:38.7,,,14,01:17.6,136.1,Jaguar TCS Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,1,Nick,CASSIDY,,NZL,NZL,CAS,,,,,,
2579,10,121,1,7,Classified,35,53:34.7,-,-,13,01:21.7,113.8,Maserati MSG Racing,,,,Maserati Tipo Folgore,HANKOOK,,,,,,,,,,8,Maximilian,GÜNTHER,,DEU,DEU,GUE,,,,,,
2580,10,121,2,22,Classified,35,53:35.4,0.755,0.755,10,01:22.2,113.1,Nissan Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,7,Oliver,ROWLAND,,GBR,GBR,ROW,,,,,,
2581,10,121,3,1,Classified,35,53:36.1,1.405,0.65,13,01:22.2,113.1,Andretti Formula E,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,5,Jake,DENNIS,,GBR,GBR,DEN,,,,,,
2582,10,121,4,13,Classified,35,53:36.5,1.822,0.417,13,01:22.3,112.9,TAG Heuer Porsche Formula E Team,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,15,António Félix,DA COSTA,,PRT,PRT,DAC,,,,,,
2583,10,121,5,94,Classified,35,53:38.6,3.897,2.075,13,01:22.3,113,TAG Heuer Porsche Formula E Team,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,2,Pascal,WEHRLEIN,,DEU,DEU,WEH,,,,,,
2584,10,121,6,51,Classified,35,53:39.6,4.983,1.086,27,01:22.6,112.5,ABT CUPRA FORMULA E TEAM,,,,Mahindra M10Electro,HANKOOK,,,,,,,,,,18,Nico,MÜLLER,,CHE,CHE,MUE,,,,,,
2585,10,121,7,37,Classified,35,53:40.2,5.542,0.559,19,01:21.9,113.5,Jaguar TCS Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,1,Nick,CASSIDY,,NZL,NZL,CAS,,,,,,
2586,10,121,8,4,Classified,35,53:40.6,5.929,0.387,13,01:22.4,112.8,Envision Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,10,Robin,FRIJNS,,NLD,NLD,FRI,,,,,,
2587,10,121,9,3,Classified,35,53:41.2,6.504,0.575,13,01:22.6,112.6,ERT Formula E Team,,,,ERT X24,HANKOOK,,,,,,,,,,16,Sérgio,SETTE CÂMARA,,BRA,BRA,SET,,,,,,
2588,10,121,10,23,Classified,35,53:41.7,7.016,0.512,19,01:22.4,112.8,Nissan Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,14,Sacha,FENESTRAZ,,FRA,FRA,FEN,,,,,,
2589,10,121,11,25,Classified,35,53:42.2,7.583,0.567,19,01:22.9,112.1,DS PENSKE,,,,DS E-TENSE FE23,HANKOOK,,,,,,,,,,4,Jean-Éric,VERGNE,,FRA,FRA,JEV,,,,,,
2590,10,121,12,16,Classified,35,53:43.1,8.467,0.884,14,01:23.1,111.9,Envision Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,9,Sébastien,BUEMI,,CHE,CHE,BUE,,,,,,
