POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37
1.0,8,Classified,34,53:03.071,-,-,32,1:15.873,139.2,NEOM McLaren Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,12,Sam,BIRD,,GBR,GBR,BIR,,,,,,
2.0,9,Classified,34,53:03.635,+0.564,+0.564,28,1:15.805,139.3,Jaguar TCS Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,5,Mitch,EVANS,,NZL,NZL,EVA,,,,,,
3.0,22,Classified,34,53:06.611,+3.540,+2.976,28,1:15.979,139.0,Nissan Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,9,Oliver,ROWLAND,,GBR,GBR,ROW,,,,,,
4.0,94,Classified,34,53:06.700,+3.629,+0.089,25,1:15.877,139.2,TAG Heuer Porsche Formula E Team,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,2,Pascal,WEHRLEIN,,DEU,DEU,WEH,,,,,,
5.0,1,Classified,34,53:06.793,+3.722,+0.093,25,1:15.890,139.1,Andretti Formula E,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,4,Jake,DENNIS,,GBR,GBR,DEN,,,,,,
6.0,13,Classified,34,53:08.638,+5.567,+1.845,25,1:15.884,139.1,TAG Heuer Porsche Formula E Team,,,,Porsche 99X Electric,HANKOOK,,,,,,,,,,18,António Félix,DA COSTA,,PRT,PRT,DAC,,,,,,
7.0,25,Classified,34,53:09.077,+6.006,+0.439,25,1:15.912,139.1,DS PENSKE,,,,DS E-TENSE FE23,HANKOOK,,,,,,,,,,3,Jean-Éric,VERGNE,,FRA,FRA,JEV,,,,,,
8.0,2,Classified,34,53:09.888,+6.817,+0.811,23,1:16.022,138.9,DS PENSKE,,,,DS E-TENSE FE23,HANKOOK,,,,,,,,,,11,Stoffel,VANDOORNE,,BEL,BEL,VAN,,,,,,
9.0,7,Classified,34,53:11.156,+8.085,+1.268,26,1:15.989,139.0,Maserati MSG Racing,,,,Maserati Tipo Folgore,HANKOOK,,,,,,,,,,6,Maximilian,GÜNTHER,,DEU,DEU,GUE,,,,,,
10.0,16,Classified,34,53:11.681,+8.610,+0.525,25,1:15.717,139.5,Envision Racing,,,,Jaguar I-TYPE 6,HANKOOK,,,,,,,,,,8,Sébastien,BUEMI,,CHE,CHE,BUE,,,,,,
11.0,23,Classified,34,53:12.348,+9.277,+0.667,23,1:15.972,139.0,Nissan Formula E Team,,,,Nissan e-4ORCE 04,HANKOOK,,,,,,,,,,14,Sacha,FENESTRAZ,,FRA,FRA,FEN,,,,,,
