resultsId,seasonId,raceId,pos,number,teamId,driverId,laps,time,gap,interval,kp/h,best,lap,POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37,is_dnf,best_lap_seconds
1,1,1,,55,3,64,21,50:52.3,,,85.525,01:45.1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,105.1
2,1,1,,9,44,10,14,37:24.7,,,77.53,01:45.9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,105.9
3,1,1,,10,46,74,2,41:22.8,,,10.013,01:52.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,112.6
4,1,1,,21,26,65,,01:41.3,,,,01:49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,109.5
5,1,1,1,11,6,33,25,52:23.4,,,98.863,01:46.7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,106.7
6,1,1,2,27,4,50,25,52:26.3,2.867,2.867,98.773,01:46.6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,106.6
7,1,1,3,2,16,7,25,52:30.0,6.559,3.692,98.658,01:46.6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,106.6
8,1,1,4,28,4,57,25,52:42.7,19.301,12.742,98.26,01:46.7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,106.7
9,1,1,5,5,26,15,25,52:47.4,23.952,4.651,98.116,01:45.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,105.9
10,1,1,6,7,13,17,25,52:55.1,31.664,7.712,97.877,01:47.3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,107.3
11,1,1,7,6,13,67,25,53:05.4,41.968,10.304,97.561,01:47.4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,107.4
12,1,1,8,99,36,58,25,53:07.3,43.896,1.928,97.502,01:47.8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,107.8
13,1,1,9,30,47,63,25,53:07.4,43.975,0.079,97.499,01:47.8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,107.8
14,1,1,10,66,2,1,25,53:25.9, 1:2.507,18.532,96.936,01:46.6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,106.6
15,1,1,11,3,48,2,25,54:24.0,+ 2:00.613,58.106,95.21,01:47.9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,107.9
16,1,1,12,8,40,59,24,50:31.3,1 Lap,1 Lap,98.421,01:46.2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,106.2
17,1,1,13,23,47,37,24,50:31.9,1 Lap,0.629,98.4,01:46.2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,106.2
18,1,1,14,18,46,14,24,52:41.4,17.962, 2:9.494,94.37,01:49.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,109.5
19,1,1,15,77,3,41,24,53:24.5, 1:1.125,43.163,93.098,01:48.8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,108.8
20,1,1,16,88,32,73,23,53:58.7, 1:35.337,34.212,88.277,01:48.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,108.8
21,1,2,1,2,48,7,31,51:12.0,,,93,01:25.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.6
22,1,2,2,11,6,33,31,51:16.2,4.175,4.175,92.874,01:25.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.2
23,1,2,3,9,44,10,31,51:17.7,5.739,1.564,92.827,01:25.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.1
24,1,2,4,8,44,59,31,51:21.5,9.552,3.813,92.712,01:25.3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.3
25,1,2,5,7,13,17,31,51:25.7,13.722,4.17,92.587,01:25.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.4
26,1,2,6,5,26,15,31,51:29.1,17.158,3.436,92.484,01:25.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.1
27,1,2,7,6,13,67,31,51:30.6,18.621,1.463,92.44,01:25.6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.6
28,1,2,8,55,3,25,31,51:31.9,19.926,1.305,92.401,01:25.3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.3
29,1,2,9,3,48,2,31,51:32.0,20.053,0.127,92.397,01:24.4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.4
30,1,2,10,66,6,1,31,51:57.6,45.663,25.61,91.638,01:26.2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.2
31,1,2,11,88,10,73,31,52:07.8,55.833,10.17,91.34,01:26.8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.8
32,1,2,12,30,47,63,31,52:08.6,56.626,0.793,91.317,01:24.6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.6
33,1,2,13,28,4,9,31,52:17.0, 1:5.036,8.41,91.072,01:24.6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.6
34,1,2,14,21,26,65,30,49:51.3,1 Lap,1 Lap,92.427,01:24.6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.6
35,1,2,15,27,4,50,30,52:42.6,1 Lap, 2:51.293,87.421,01:24.4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.4
36,1,2,16,77,3,41,28,52:08.6,3 Laps,2 Laps,82.481,01:26.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.5
37,1,2,17,10,46,74,28,52:53.2,3 Laps,44.658,81.32,01:26.7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.7
38,1,2,,99,10,58,22,38:22.5,,,88.059,01:25.3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,85.3
39,1,2,,23,47,37,14,40:15.1,,,53.424,01:26.4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.4
40,1,2,,18,46,14,7,16:00.2,,,67.186,01:30.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,90.2
